Historical Period,Time/Century,Edition_ID,URL,Scholarly,Digital,Edition,Prototype,Language,Writing support,Begin date,End date,Manager,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML-TEI available to download,Images,Zoom images,"Image manipulation (brightness, saturation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile compatibility/application,Print-friendly view,Print facsimile (complementary output),Manuscript(s') repository,Manuscript place of origin,Sponsor/Funding body,Budget (rough),Infrastructure,CDROM: Easy to access?,CDROM: Cost
Long Nineteenth Century,1819-1839,Journal of Emily Shore,http://rotunda.upress.virginia.edu:8080/EmilyShore/make-page.xqy,1,no information provided,1,1,ENG,no information provided,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1846-1870,Lautréamont / Ducasse,http://www.phalese.fr/Maldoror/index.php?title=Accueil,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,Université Sorbonne Nouvelle - Paris 3,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,MediaWiki,N/A,N/A
Middle Ages,1217-1282,Le Cartulaire de la seigneurie de Nesle,http://www.cn-telma.fr/nesle/index/,no information provided,1,no information provided,no information provided,"LAT, FRM",Manuscript,no information provided,no information provided,no information provided,CNRS (Institut de recherche et d'histoire des textes),no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,0,0,0,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Musée Condé,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1785-1812,Martha Ballard's Diary Online,http://dohistory.org/diary/index.html,1,1,1,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,Roy Rosenzweig Center for History and New Media (George Mason University),no information provided,no information provided,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1855-1920,Olive Schreiner Letters Online,http://www.oliveschreiner.org/,1,no information provided,1,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,University of Edinburgh; Leeds Metropolitan University; University of Sheffield,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century; Modern,no information provided,Online Electronic Variorum of the Works of Rabindranath Tagore,http://rabindranathtagore-150.gov.in/online-voriourum.html,no information provided,no information provided,no information provided,no information provided,BEN,no information provided,no information provided,no information provided,no information provided,Ministry of Culture Government of India,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,13th-14th,Ordonnances de l'hôtel du roi,http://www.cn-telma.fr/ordonnances/index/,no information provided,no information provided,no information provided,no information provided,FRO,Manuscript,no information provided,no information provided,no information provided,CNRS (Institut de recherche et d'histoire des textes),no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Archives Nationales; Bibliotheque Nationale de France,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,2nd BC,Septuaginta LXX,http://septuaginta.net/,no information provided,no information provided,no information provided,no information provided,GRC,Codex,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,PDF will be available,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,Sirat Bani Hilal Digital Archive,http://www.siratbanihilal.ucsb.edu/start-0,no information provided,no information provided,no information provided,no information provided,ARA,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; ARA,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,no information provided,Søren Kierkegaards Skrifter,http://sks.dk/forside/indhold.asp,no information provided,no information provided,no information provided,no information provided,DAN,Manuscript,no information provided,no information provided,no information provided,University of Copenhagen,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,DAN,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Modern,20th,Stijn Streuvels: De teleurgang van den Waterhoek (The decline of the Waterhoek) CDROM,http://ctb.kantl.be/vanhoutte/projects/teleurgang.htm,no information provided,1,no information provided,no information provided,DUT,no information provided,no information provided,no information provided,no information provided,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal),no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,DUT,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,€68.06
Early Modern; Long Nineteenth Century,1735-1826,The Adams Papers,http://rotunda.upress.virginia.edu/founders/ADMS.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,1,no information provided,1,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern,1649-1785,The Alcalá Account Book Project,http://drapier.dho.ie/node/232,no information provided,no information provided,1,1,SPA,no information provided,no information provided,no information provided,no information provided,National University of Ireland; University of Alcalá,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,1,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century; Modern,1869-1951,The André Gide Editions Project,http://hridigital.shef.ac.uk/gide,no information provided,no information provided,no information provided,no information provided,FRE,Manuscript,no information provided,no information provided,no information provided,University of Sheffield,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Early Modern,no information provided,The Benjamin Marston Diary Project,http://www.lib.unb.ca/Texts/marston/,no information provided,1,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,University of New Brunswick,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,18th-19th,The Bevan Family Letters,http://rth.org.uk/collections/bevan-dewar-letters,1,no information provided,1,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,Regency Town House,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,1,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,15th,The Burnet Psalter,http://www.abdn.ac.uk/diss/historic/collects/bps/index.html,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,no information provided,University of Aberdeen,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,0,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,14th,The Canterbury Tales Project,http://www.petermwrobinson.me.uk/canterburytalesproject.com/,no information provided,1,no information provided,no information provided,ENM,Manuscript,1990,no information provided,no information provided,University of Birmingham,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Early Modern,1593-1633,The Digital Temple: A Documentary Edition of George Herbert's English Verse,http://digitaltemple.rotunda.upress.virginia.edu/,1,no information provided,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,1,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,National Endowment for the Humanities,no information provided,Versioning Machine V4.0,N/A,N/A
Long Nineteenth Century; Modern,no information provided,The Diriks Family Scrapbooks,http://www.nb.no/baser/diriks/virtuellealbum/index.html,no information provided,1,no information provided,no information provided,NOR,Manuscript,no information provided,no information provided,no information provided,National Library of Norway,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,NOR,no information provided,no information provided,no information provided,1,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1770s-1880s,The Documentary History of the Ratification of the Constitution,http://rotunda.upress.virginia.edu/founders/RNCN.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1788-1843,The Dolley Madison Digital Edition,http://rotunda.upress.virginia.edu/dmde/,1,no information provided,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern,1503-1510,The Geese Book,http://geesebook.asu.edu,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,no information provided,Arizona State University,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,1,0,0,no information provided,GER; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Samuel H. Kress Foundation; National Endowment for the Humanities; Sparda Bank Nürnberg; Zukunftsstiftung der Stadtsparkasse Nürnberg; Kulturfonds der Dr. Lorenz Tucher'schen Stiftung; Freiherr von Haller'sche Forschungsstiftung; Arizona State University - Herberger Institute for Design and the Arts - Institute for Humanities Research; Erzbistum Bamberg: Verlag Nürnberger Presse; Bezirk Mittelfranken, Stiftung Natur-Kultur-Struktur; Sigma (Deutschland) GmbH; Wolf Photo Media, Fürth. ",no information provided,no information provided,N/A,N/A
Early Modern,1600-1662,The Hartlib Papers Project,http://hridigital.shef.ac.uk/hartlib,no information provided,1,no information provided,no information provided,"ENG, GER",Manuscript,no information provided,no information provided,no information provided,University of Sheffield,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century,1830-1894,The Letters of Christina Rossetti,http://rotunda.upress.virginia.edu/crossetti/,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1822-1888,The Letters of Matthew Arnold,http://rotunda.upress.virginia.edu/arnold/,1,no information provided,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Middle Ages,1469-1470,The Malory Project,http://www.maloryproject.com/,no information provided,1,no information provided,no information provided,ENM,Manuscript,no information provided,no information provided,no information provided,University of Leicester; Loyola University Chicago,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Digital Research Centre, Keio University",no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1755-1804,The Papers of Alexander Hamilton,http://rotunda.upress.virginia.edu/founders/ARHN.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1739-1830,The Papers of Eliza Lucas Pinckney and Harriot Pinckney Horry,http://rotunda.upress.virginia.edu/PinckneyHorry/,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia; National Endowment for the Humanities,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1732-1799,The Papers of George Washington,http://rotunda.upress.virginia.edu/founders/GEWN.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1751-1836,The Papers of James Madison,http://rotunda.upress.virginia.edu/founders/JSMN.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1743-1826,The Papers of Thomas Jefferson,http://rotunda.upress.virginia.edu/founders/TSJN.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,1,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1843-1920,The Pérez Galdós Editions Project,http://hridigital.shef.ac.uk/galdos,no information provided,1,1,0,SPA,Manuscript,no information provided,no information provided,N. G. Round; Rhian Davies; Jamie McLaughlin,University of Sheffield,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Middle Ages,no information provided,The Planctus for William Longsword,http://vlib.iue.it/carrie/documents/planctus/planctus/index.html,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,1999,2002,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,0,0,0,GER; NOR,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Bibliothèque de Clermont-Ferrand, MS 240, folio 45; Bibliotheca Mediceo-Laurenziana of FlorenceMS Libri 30, folios 21v-22v",no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,The Zibaldone project,http://www.birmingham.ac.uk/research/activity/leopardi/projects/index.aspx,no information provided,no information provided,no information provided,no information provided,ITA,Manuscript,forthcoming,no information provided,no information provided,University of Birmingham,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Modern,1914-1918,Virginie Lovelings Diary,http://ctb.kantl.be/pub/loveling/html/index.htm,no information provided,no information provided,no information provided,no information provided,DUT,Manuscript,no information provided,no information provided,no information provided,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal),no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,DUT,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1810-1876,William Golder Electronic Edition,http://nzetc.victoria.ac.nz/tm/scholarly/tei-corpus-golder.html,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,University of Wellington,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1200,William of Palerne,http://trove.nla.gov.au/work/33020507,no information provided,no information provided,no information provided,no information provided,ENM,Manuscript,no information provided,no information provided,Gerrit H.V. Bunt,National Library of Australia,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Victoria University Library, Melbourne, Australia",no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century; Modern,20th,Wittgensteins Nachlass: The Bergen Electronic Edition,http://www.nlx.com/collections/124,no information provided,no information provided,no information provided,no information provided,"GER, ENG",Manuscripts; typescripts; dictations; notebooks,1998,2000,no information provided,InteLex,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century,1898,Zibaldone Europeo,http://www.birmingham.ac.uk/research/activity/leopardi/projects/barcelona.aspx,no information provided,1,no information provided,no information provided,ITA,Manuscript,no information provided,no information provided,Maria de las Nieves Muñiz Muñiz,University of Birmingham,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; SPA,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"£25,000",no information provided,N/A,N/A
Early Modern,1681,"Pietro Mellini's Inventory in verse, 1681",http://www.getty.edu/research/mellini/,1,1,1,1,ITA,Manuscript,2015,no information provided,Murtha Baca; Nuria Rodríguez Ortega,Getty Research Institute,Scholarly; general public,0,N/A,N/A,no information provided,no information provided,1,1,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,1,1,1,no information provided,no information provided,Getty Research Trust,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,16-18th century,Inscriptiones Alborum Amicorum,http://iaa.bibl.u-szeged.hu/index.php,1,1,1,0,"LAT, GER, ENG, HEB, FRE, GRE",Friendship albums; autograph albums; books of friends,2003,2015,Anita Fajt,University of Szeged,Experts; general public,"0,5",1,no information provided,0,no information provided,1,1,0,0,0,HUN; ENG; GER,0,1,0,1,0,0,0,0,no information provided,0,no information provided,Keyed,1,1,0,Various archives in Europe,no information provided,Dr. Miklós Latzkovits and Dr. Tünde Katona,no information provided,"new version: Yii2, Html5/CSS3old version: Custom php/html/css",N/A,N/A
Early Modern,1566,"George Etheridge's Encomium on Henry VIII addressed to Elizabeth II, British Library Royal MS 16 C X",http://hellenic-institute.rhul.ac.uk/Research/Etheridge/,1,1,1,0,GRC,Text in a codex uniqus,2011,present,Charalambos Dendrinos,Hellenic Institute of Royal Holloway; British Library,Scholars; students; general public,"0,5",0,0,1,no information provided,1,0,0,1,0,ENG,1,0,1,0,0,0,0,0,1,1,1,Keyed,no information provided,0,0,Hellenic Institute of Royal Holloway,British Library,"Royal Holloway, University of London",no information provided,"HTML 4.01, CSS and Java Script",N/A,N/A
Early Modern,16th century,Digitalisierte Edition des Ältesten Appenzeller Landbuchs,http://www.ssrq-sds-fds.ch/teiviewer/,1,1,1,0,GER,Manuscript,2007,2013,Pascale Sutter,Law Sources Foundation of the Swiss Lawyers Society,Experts; scholars,"0,5","0,5",no information provided,1,no information provided,1,1,0,0,0,GER,0,1,0,1,0,1,0,0,0,0,0,Keyed,0,0,1,no information provided,no information provided,Law Sources Foundation of the Swiss Lawyers Society,no information provided,Java,N/A,N/A
Early Modern,1500-1548,Corpus of Ioannes Dantiscus' Texts & Correspondence ,http://dantiscus.al.uw.edu.pl/,1,no information provided,1,0,"LAT, GER, SPA, POL, ITA, FRE, BEL, CZE ",Manuscript letters,2007,present,Anna Skolimowska,University of Warsaw ,Scholars,1,"0,5",no information provided,1,no information provided,1,0,no information provided,no information provided,0,ENG; POL,0,1,0,1,0,0,0,0,1,0,0,Keyed,0,1,1,Archiwum Archidiecezji Warmińskiej; Muzeum Narodowe w Krakowie; Biblioteka Czartoryskich; Geheimes Staatsarchiv Preussischer Kulturbesitz,Poland and other European countries,Polish Ministry of Science,no information provided,Dantiscus (custom; PHP/MySQL/HTML/CSS/XML/XQuery),N/A,N/A
Middle Ages,14th century,Dante's Commedia,http://sd-editions.com/AnaAdditional/commediaonline/home.html,1,1,1,0,ITA,Codex,1998,2010,Peter Robinson,University College London,Scholars,1,1,1,1,0,1,1,0,0,0,ENG,0,1,1,0,0,0,0,0,0,1,no information provided,Keyed,1,1,1,Various,Italy,"AHRC, UK; British Academy; De Montfort, Birmingham and Saskatchewan universities","$250,000.00",Anastasia,N/A,N/A
Early Modern,1550-1563,"A London Provisioner's Chronicle, 1550–1563, by Henry Machyn: Manuscript, Transcription, and Modernization",http://quod.lib.umich.edu/m/machyn/,1,1,1,0,ENG,Manuscript,1990s,2004,Kevin Hawkins,University of Michigan Ann Arbor,Scholars; general public,1,1,no information provided,1,no information provided,1,1,no information provided,no information provided,0,ENG,1,0,0,1,0,1,no information provided,0,no information provided,0,no information provided,Keyed,0,0,0,British Library,Cottonian Library,University of Michigan Library,Not budgeted,DLXS,N/A,N/A
Middle Ages,501-1882,Collection of Swiss Law Sources,http://www.ssrq-sds-fds.ch/online/,1,0,1,0,"LAT, GER, FRE,ITA, ROH",Charters; Documents; Law Sources,2011,no information provided,Pascale Sutter,Law Sources Foundation of the Swiss Lawyers Society,Experts; scholars,1,0,no information provided,1,no information provided,0,N/A,N/A,N/A,0,FRE; GER; ITA,0,1,1,0,0,1,0,0,no information provided,no information provided,no information provided,OCR,0,1,1,no information provided,no information provided,Law Sources Foundation of the Swiss Lawyers Society,no information provided,HTML,N/A,N/A
